idade,gênero,imc,filhos,fumante,região,encargos
56,feminino,28.13475588311947,3,não,nordeste,51161.48848355365
46,masculino,21.949898486300153,0,não,nordeste,25170.929477714664
32,feminino,27.551340553256914,1,não,sudeste,33984.703576497115
60,feminino,29.480087448449765,0,não,sudoeste,45243.843528667625
25,feminino,29.568966736863054,0,não,norte,30544.58561924408
38,masculino,30.308078351779027,2,não,nordeste,18382.00320773635
56,feminino,33.22754664750037,1,não,sudeste,49149.775446445245
36,feminino,32.02197483651935,1,não,sudoeste,43144.77647651876
40,masculino,28.330849029732498,1,não,sudoeste,41640.65858473312
28,masculino,18.54681189256189,2,não,sudeste,10266.146631755735
28,masculino,30.741880265081686,3,não,sudeste,48688.64276000373
41,feminino,34.57431018503604,0,sim,norte,16693.572109573965
53,feminino,23.194632559669387,2,não,norte,13088.988501142901
57,masculino,28.317276486744596,1,não,sudeste,51145.69477818025
41,masculino,31.067332355018507,3,sim,sudoeste,40785.87166026365
20,masculino,28.864512650789962,2,não,nordeste,45681.60252679641
39,masculino,33.683331198356925,1,não,nordeste,28792.574914456054
19,masculino,26.046779314369076,2,não,nordeste,24762.92863898205
41,feminino,27.04139519635337,3,não,nordeste,9058.06052666588
61,feminino,18.650137636237396,1,não,nordeste,23757.688821994074
47,masculino,33.303762307380254,0,não,sudoeste,34892.76850482502
55,feminino,22.458807801882635,2,não,norte,46132.467705324314
19,masculino,34.63315826300255,1,não,sudoeste,46515.898227550155
38,feminino,21.435808154707118,1,não,sudeste,40307.339227367964
50,feminino,22.30874653323703,0,não,nordeste,24554.96258537687
29,masculino,26.238635779474187,1,não,sudoeste,8671.808865768133
39,masculino,29.228501305085835,3,sim,sudoeste,11168.241374923728
61,masculino,25.491298331895344,1,não,norte,6169.441978815441
42,masculino,23.98088103683891,1,não,sudoeste,24345.400431407357
44,feminino,27.181478621649017,1,não,nordeste,33511.57013277978
59,feminino,34.29107140674973,1,não,norte,18489.32626697625
45,masculino,34.35318393586195,2,sim,norte,16334.525926185273
33,feminino,23.57676140583271,2,não,sudeste,27005.8240069091
32,masculino,29.56269689768746,2,sim,sudeste,11133.558983364717
64,masculino,30.27250904885586,2,não,sudoeste,29659.451548331588
61,masculino,29.108091180443058,3,não,norte,18033.27402208871
20,masculino,19.921174321835835,3,não,norte,49560.62965364609
54,masculino,27.17108607838584,3,não,sudeste,15152.927732048605
24,feminino,30.975277329461058,2,não,nordeste,14255.811283208654
38,feminino,21.413762460198022,2,não,norte,6525.528676431788
26,feminino,23.919550116587246,3,não,sudoeste,30134.25713161258
56,masculino,21.464607462865384,1,não,norte,42352.699222252086
35,masculino,33.0777854257492,0,não,sudoeste,35878.07441973908
21,feminino,32.59503747291748,3,não,sudoeste,43958.73499816193
42,feminino,20.876453045538938,0,sim,sudeste,25126.073411041885
31,masculino,30.92935399133691,0,não,nordeste,26236.471167972384
26,feminino,24.18759315349572,0,não,sudeste,49714.517420435244
43,masculino,29.664906724226963,1,não,norte,21051.907486288594
19,masculino,26.387258483195197,1,não,sudeste,33247.31326660773
